76,-47,40,32
151,40,57,2
99,28,-46,-6
75,28,-6,-52
90,-51,-46,41
67,3,8,-13
53,22,12,30
69,-30,-7,-46
140,23,56,22
42,51,-38,0
122,12,45,34
144,11,41,-1
81,45,11,-10
114,4,50,-42
132,-11,40,59
142,3,42,39
99,12,-60,-60
142,-30,-25,-55
75,-59,53,-28
120,7,-34,48
132,49,51,55
142,12,-13,-47
97,-54,29,-43
143,-51,-3,30
108,-40,-54,58
68,13,-56,-32
63,-1,17,40
51,-22,41,32
99,-33,-38,-5
88,-12,53,-4
157,-21,-22,-20
55,50,-6,40
68,-29,-29,-33
91,21,36,-29
61,59,18,37
50,-14,2,14
47,-39,15,-29
70,-4,-26,-8
47,-30,41,-31
118,49,1,-27
109,21,55,-60
155,40,5,-30
157,15,24,-36
44,49,56,-53
55,-18,20,-17
122,-35,40,-51
87,-50,16,-36
53,17,57,-52
110,31,22,-56
149,-24,57,6
55,36,34,5
121,54,-27,14
43,13,47,-18
92,13,-7,26
102,-1,-40,44
91,12,-60,-26
71,55,-57,12
120,-53,-7,-25
68,-22,42,47
58,-31,-17,-56
68,-32,-55,-40
106,6,50,8
147,-20,-55,18
152,41,-32,-46
73,-42,44,7
44,35,52,36
115,-46,-42,26
46,-15,31,41
41,-2,58,-10
126,23,2,55
142,23,-45,-27
84,-8,-58,41
91,-11,-37,-46
82,-50,-52,-18
124,10,-41,-41
69,32,13,40
90,-25,41,-32
136,-17,-29,-34
119,-57,-19,-34
144,-55,-11,-6
-15,62,-59,-27
-35,66,-33,-20
12,64,-19,46
-37,97,40,21
11,103,32,-34
-46,156,27,21
11,40,41,-36
-41,72,-57,-10
4,155,34,-17
13,78,-33,-49
-6,138,-8,-58
25,92,50,-38
13,110,-51,6
-2,77,-37,29
17,130,53,32
-54,85,-30,37
-1,142,33,-23
-49,78,42,-58
-14,110,-24,-32
42,85,49,-52
-37,40,-15,59
55,62,19,38
46,90,58,50
-52,92,55,-50
-6,153,28,10
2,130,-31,2
-27,155,44,35
-25,133,30,-42
-26,118,-20,11
-34,70,19,-17
-47,110,8,-55
45,85,54,-7
30,139,-23,-29
-50,57,-13,-37
-54,112,-11,-8
-57,146,41,-18
4,110,21,-26
-38,127,3,49
-38,47,-2,-42
37,136,-17,-16
